name,type,price,safeguard_time,area
俊发城金盏苑,3室2厅,2400,2021/5/26,盘龙
昆明医科大学附属第一医院丹霞路延长线宿舍区,3室2厅,2100,2021/5/29,西山
春城慧谷,4居室,836,2021/6/13,五华
中豪悦城花园,3室2厅,1250,2021/5/29,官渡
海伦国际柏林区,5居室,1178,2021/6/13,官渡
新亚洲体育城星汇园,3室2厅,2600,2021/6/11,官渡
天骄北麓,4居室,798,2021/6/15,五华
都市名园,3室2厅,4200,2021/5/26,五华
春城慧谷,5居室,1216,2021/6/13,五华
馨逸雅筑小区,2室2厅,2600,2021/6/8,官渡
未名城A3地块,1居室,1100,2021/6/11,西山
现代文庭,2室2厅,2500,2021/6/15,官渡
河畔俊园,3室2厅,2500,2021/6/12,西山
时代俊园,4室2厅,1500,2021/6/1,呈贡
佳兆业壹号公馆,3室2厅,1800,2021/6/12,西山
奥宸橙郡二期,1室0厅,1300,2021/6/5,盘龙
蓝光天娇城,3室2厅,1300,2021/6/12,呈贡
金地九樾,3室2厅,2800,2021/6/8,盘龙
瑞鼎城,3室2厅,2500,2021/5/30,呈贡
中国滇池花田国际度假区,4室2厅,2800,2021/6/14,西山
金江小区·云苑,4室2厅,3200,2021/6/3,官渡
远洋新干线,1室1厅,1500,2021/6/8,呈贡
滇池卫城橡尚,3室2厅,3000,2021/5/19,西山
海伦国际塔林区,2室2厅,2400,2021/5/22,呈贡
呈贡第七街区,1室0厅,800,2021/6/5,西山
汇都首誉,4室2厅,6000,2021/5/26,呈贡
远洋新干线,1室1厅,800,2021/6/13,西山
金色家园南园,3室2厅,2800,2021/6/13,呈贡
七彩云南第壹城,3室2厅,1500,2021/6/15,西山
南亚风情第壹城星河苑,3室2厅,3200,2021/6/11,西山
昆明呈贡吾悦广场,1室0厅,2000,2021/6/15,官渡
昆明融创文旅城,3室2厅,3000,2021/6/14,官渡
万科金域南郡花园2期,3室2厅,2900,2021/5/25,官渡
百年明日城市,5居室,550,2021/6/3,五华
天怡峰景,5居室,750,2021/6/4,盘龙
俊发城紫薇苑,3居室,700,2021/5/15,盘龙
蓝光天娇城,4室2厅,1600,2021/6/12,呈贡
保利大家,4居室,950,2021/5/28,五华
东旭骏城,4居室,750,2021/5/30,官渡
环南新村,3室2厅,2400,2021/6/7,官渡
棕榈泉花园,5居室,950,2021/6/4,五华
俊发盛唐城F区,2室1厅,2000,2021/6/11,盘龙
实力心城,1室1厅,1500,2021/5/25,呈贡
涌鑫昆明之窗,1室0厅,1100,2021/6/10,呈贡
春明景和,4居室,650,2021/6/5,官渡
云冶生活区,3室1厅,1900,2021/5/26,五华
新希望白麓城,3室2厅,3200,2021/5/20,五华
日新小区,3室2厅,2500,2021/6/11,官渡
昆明恒大名都,4居室,850,2021/5/29,五华
昆明新城吾悦广场,1室1厅,1900,2021/6/8,五华
中豪逸境花园,2室2厅,1700,2021/5/17,官渡
东骧神骏,5居室,900,2021/5/30,官渡
碧桂园御龙半山,3室2厅,1800,2021/6/5,五华
昆明恒大名都,3室1厅,3000,2021/6/9,五华
紫东苑,5居室,650,2021/6/1,盘龙
金马腾苑,4居室,700,2021/6/2,官渡
融创春风十里云翥苑,4居室,900,2021/6/4,五华
昆明广场B区,3室1厅,4500,2021/6/5,盘龙
俊发盛唐城,4居室,900,2021/5/15,盘龙
保利大家,3室2厅,2200,2021/6/10,五华
景秀西苑,4居室,650,2021/5/15,五华
保利大家,5居室,600,2021/6/8,五华
昆明恒大名都,4居室,1000,2021/5/15,五华
碧桂园玺台,3室2厅,3800,2021/5/27,五华
七彩云南第壹城,1室1厅,1800,2021/5/27,呈贡
万科学府,1室0厅,2300,2021/6/3,五华
万科魅力之城,4室2厅,2300,2021/6/8,官渡
江东花城,4室2厅,7000,2021/6/1,盘龙
红星紫郡,2室2厅,3200,2021/6/13,西山
呈贡第七街区,1室1厅,1300,2021/6/11,呈贡
凯旋花园北区,1室2厅,1700,2021/6/13,西山
七彩云南古滇名城,2室2厅,1800,2021/6/10,晋宁
俊发城牡丹苑,3室2厅,2400,2021/6/11,盘龙
中通玖玺华府,3室2厅,2500,2021/6/2,呈贡
俊发城芙蓉苑,5室2厅,5000,2021/6/9,盘龙
书香大地,1室0厅,980,2021/6/4,呈贡
新亚洲体育城星辰园,2室2厅,2200,2021/6/1,官渡
俊发盛唐城,2室1厅,1800,2021/5/30,盘龙
海伦国际洛林区,1居室,1100,2021/6/6,官渡
昆华苑,5室2厅,2400,2021/6/6,安宁
棕榈泉花园,5居室,860,2021/6/4,五华
海伦中心,2室2厅,2100,2021/6/5,五华
海东俊园,4室2厅,6000,2021/5/23,官渡
昆明恒大名都,4居室,750,2021/6/10,五华
双全住宿小区,2室2厅,1500,2021/6/11,五华
云南映象花好月圆,1室1厅,1800,2021/6/5,盘龙
昆明云石商贸城,2室2厅,2000,2021/5/27,西山
润城第二大道,1室1厅,2700,2021/6/4,西山
滇池俊府,4室2厅,6000,2021/6/11,官渡
昆明恒大名都,5居室,550,2021/6/3,五华
月半湾,2室2厅,2000,2021/6/14,五华
弹簧钢板厂家属区,4居室,650,2021/6/3,五华
万科城,3室2厅,2600,2021/6/5,五华
金色交响家园,4居室,800,2021/6/5,盘龙
新南亚第壹国际,1室1厅,1900,2021/6/7,呈贡
金安小区,3室2厅,2200,2021/6/1,盘龙
宁湖左岸,3室2厅,1600,2021/6/5,安宁
东旭御山湖,3室2厅,1400,2021/6/11,呈贡
昆明恒大云报华府,3室2厅,3600,2021/6/13,西山
昆明新城吾悦广场,1室1厅,1700,2021/6/9,五华
弹簧钢板厂家属区,4居室,800,2021/6/3,五华
春明景和,4居室,900,2021/6/2,官渡
桂园小区,4室2厅,3600,2021/6/13,西山
四季阳光,4室2厅,3200,2021/5/29,西山
昆明恒大名都,4居室,650,2021/5/15,五华
红星天铂,4室2厅,2300,2021/6/15,官渡
万科公园里,3室2厅,2200,2021/5/28,官渡
泰旸新城,4居室,680,2021/6/3,五华
润城,4居室,1000,2021/6/3,西山
昆明恒大名都,4居室,1050,2021/5/15,五华
融城园城,4居室,1150,2021/6/3,五华
兴冶国际,3室2厅,2400,2021/6/3,呈贡
葡萄街区天宇花园,3室2厅,3200,2021/6/8,盘龙
富春花园,1室0厅,800,2021/6/12,五华
实力心城,1室1厅,1600,2021/6/5,呈贡
蓝光颐明园,3室2厅,1500,2021/5/25,呈贡
书香门第,2室1厅,2000,2021/6/7,五华
康宏小区,3室2厅,1700,2021/6/3,五华
俊发城茉莉苑,3室2厅,1800,2021/6/4,盘龙
棕榈泉花园,5居室,800,2021/6/4,五华
丽水雅苑,3室2厅,3500,2021/6/8,盘龙
呈贡第七街区,2室1厅,1100,2021/6/12,呈贡
筑友双河湾德馨苑,3室2厅,2600,2021/5/27,西山
白马小区东碧组团,2室2厅,1600,2021/6/8,西山
俊发城紫薇苑,4居室,550,2021/6/5,盘龙
大商汇,3居室,850,2021/6/2,西山
龙江雅苑,1室1厅,1500,2021/6/5,盘龙
中豪悦城花园,3室2厅,2000,2021/6/15,官渡
银河北庭,2室2厅,1600,2021/6/9,盘龙
彩云间花园,2室1厅,2000,2021/6/5,盘龙
春城慧谷,4居室,1050,2021/5/28,五华
融城春晓,2室2厅,2400,2021/6/13,官渡
万科金域缇香,1室0厅,1600,2021/5/27,盘龙
江东境界,3室2厅,3500,2021/6/11,盘龙
红星国际广场晶品,2室2厅,2500,2021/6/12,西山
金地兰亭广场,1室1厅,2200,2021/6/8,西山
和谐世纪,4居室,850,2021/6/1,五华
汇都国际,1室1厅,2500,2021/6/15,盘龙
文苑雅居,4室2厅,1800,2021/5/28,安宁
保利星座,1室0厅,1600,2021/6/10,五华
呈贡第七街区,1室0厅,1000,2021/6/12,呈贡
昆明融创文旅城,3室2厅,2000,2021/5/19,西山
紫东苑,5居室,1100,2021/6/1,盘龙
新域盛景,3室2厅,2500,2021/6/14,五华
滨江俊园,3室2厅,2600,2021/5/27,盘龙
西城时代,2室1厅,2500,2021/6/11,五华
鑫世界,2室1厅,2300,2021/6/5,盘龙
雨花毓秀,3室1厅,2500,2021/5/29,呈贡
七彩云南第壹城,1室0厅,1800,2021/5/30,呈贡
版筑青果,2室2厅,1900,2021/6/4,五华
海东俊园,3室2厅,5000,2021/6/8,官渡
麻线营38号,3室2厅,2300,2021/6/5,盘龙
红星国际广场晶品,2室1厅,2100,2021/6/12,西山
滨江俊园,3室2厅,2800,2021/6/5,盘龙
春城慧谷,3居室,880,2021/6/10,五华
德缘小区南区,4居室,1000,2021/5/15,西山
俊发盛唐城,4居室,1000,2021/6/2,盘龙
碧桂园玺台,1室1厅,1700,2021/6/12,五华
中国水电金檀,3室2厅,2100,2021/6/4,盘龙
和谐世纪,1室1厅,2200,2021/6/3,五华
誉峰峰景,4居室,1150,2021/6/5,盘龙
花香满径,3室2厅,1800,2021/5/24,呈贡
荷塘月色,3室2厅,3500,2021/6/8,五华
金宅小区,4居室,700,2021/6/13,官渡
泛亚城邦,4室2厅,2500,2021/6/7,呈贡
融创春风十里云翥苑,4居室,900,2021/6/4,五华
金江小区·曦苑,3室2厅,2500,2021/6/2,盘龙
海伦国际布拉格公寓,2室1厅,2200,2021/6/10,官渡
新亚洲体育城星云园,1室0厅,300,2021/6/13,官渡
时代俊园,4室2厅,1600,2021/6/11,呈贡
融城园城,4居室,900,2021/6/6,五华
俊发生态半岛,6室2厅,8000,2021/6/6,官渡
海伦国际泰晤士区,3室2厅,3400,2021/6/8,官渡
清水佳湖雅居,5室3厅,4200,2021/6/14,盘龙
威远大厦,4居室,1250,2021/6/5,五华
保利玺樾,4居室,800,2021/6/4,盘龙
金色家园南园,3室2厅,2600,2021/6/6,西山
金地悦天下,4居室,1150,2021/5/30,西山
融创海豚湾,1室1厅,1600,2021/6/5,五华
金林碧水小区,4居室,680,2021/6/5,盘龙
世纪俊园,3室2厅,3500,2021/6/10,盘龙
春建司殷家箐职工干警住宅区,5居室,750,2021/5/23,五华
东骧神骏,5居室,700,2021/5/30,官渡
吹箫巷12号,3室2厅,3000,2021/6/8,盘龙
金马寺大村1号院,5居室,750,2021/5/30,官渡
金尚俊园,3室1厅,2800,2021/5/26,盘龙
金马腾苑,4居室,950,2021/5/28,官渡
葡萄街区天宇花园,4居室,750,2021/6/5,盘龙
文苑雅居,2室2厅,1500,2021/6/5,安宁
中豪逸境花园,2室2厅,1500,2021/6/15,官渡
希望汇,3室2厅,3200,2021/5/28,西山
惠兰园,3室2厅,2500,2021/6/1,呈贡
金地悦天下,4居室,1150,2021/5/30,西山
七彩云南第壹城,2室2厅,2400,2021/5/30,呈贡
蓝光天娇城,2室1厅,1300,2021/6/12,呈贡
江东境界,3室2厅,3800,2021/6/7,盘龙
招商海公馆,3室2厅,4500,2021/6/6,官渡
昆明呈贡吾悦广场,2室1厅,1800,2021/6/10,呈贡
东郊路95号,4居室,700,2021/5/30,官渡
英茂华府,4居室,900,2021/6/4,五华
春建司殷家箐职工干警住宅区,5居室,750,2021/5/23,五华
昆明恒大名都,4居室,650,2021/5/15,五华
远洋新干线,1室1厅,1300,2021/6/12,呈贡
华夏御府怡璟苑,3室2厅,2800,2021/6/11,西山
誉峰峰景,4室2厅,3000,2021/6/15,盘龙
馨逸雅筑小区,2室1厅,2500,2021/6/7,官渡
昆明新城吾悦广场,1室1厅,2100,2021/5/29,五华
呈贡第七街区,1室1厅,1200,2021/6/2,呈贡
西城林语,5居室,750,2021/6/13,五华
第三城财富中心,1室1厅,2500,2021/6/3,官渡
昆明恒大名都,5居室,1100,2021/5/15,五华
昆明新城吾悦广场,1室1厅,1800,2021/6/11,五华
润城十区,1室0厅,1000,2021/6/15,西山
云波小区北区,4居室,700,2021/6/2,盘龙
俊发观云海云漫岭,3室1厅,1800,2021/5/22,官渡
新希望观澜汇,1室0厅,1520,2021/6/7,西山
蓝光天娇城,2室1厅,1200,2021/6/12,呈贡
金马腾苑,4居室,950,2021/5/30,官渡
华润中心悦府,2室2厅,2700,2021/6/9,官渡
金马腾苑,4居室,850,2021/6/12,官渡
海伦城市广场,3室2厅,3000,2021/6/13,官渡
盛高大城,5室2厅,4000,2021/6/9,西山
河畔俊园,4室2厅,3700,2021/6/4,官渡
云南映象B区,4居室,800,2021/6/5,盘龙
百年明日城市,4居室,630,2021/6/3,五华
关上北路117号,3室2厅,2200,2021/6/3,官渡
昆明恒大名都,4居室,800,2021/5/29,五华
棕榈泉花园,4居室,800,2021/5/15,五华
东湖置业,3室2厅,1400,2021/6/6,安宁
招商雍景湾,5室2厅,6500,2021/6/8,官渡
俊发观云海云漫岭,3室1厅,2000,2021/6/3,官渡
长水航城,5室2厅,3600,2021/6/6,官渡
长水航城,3室2厅,1800,2021/6/10,官渡
金马腾苑,4居室,850,2021/6/2,官渡
银杏金川,2室1厅,2800,2021/6/15,官渡
俊发观云海云漫岭,3室2厅,2100,2021/5/27,官渡
东郊路95号,4居室,850,2021/5/30,官渡
拓东郡,4居室,950,2021/6/3,盘龙
仿江南水乡,3室2厅,3000,2021/6/13,盘龙
金马寺医药公司宿舍,5居室,700,2021/5/15,官渡
经典明苑,4居室,820,2021/5/15,五华
香缇玫瑰,3室2厅,3000,2021/6/7,西山
俊发观云海云漫岭,3室2厅,2200,2021/6/2,官渡
云南映象B区,3室2厅,2200,2021/6/3,盘龙
新迎小区四组团,3室2厅,2000,2021/5/29,盘龙
万辉星城蓝山郡,3室2厅,1500,2021/6/1,安宁
团山欣城,3居室,600,2021/5/15,五华
金马腾苑,4居室,1150,2021/6/2,官渡
金马腾苑,4居室,870,2021/6/2,官渡
彩云城星湾俊园,3室2厅,2200,2021/6/13,官渡
瑞鼎城,2室1厅,2800,2021/6/4,盘龙
景秀西苑,3室2厅,1800,2021/6/15,五华
中豪逸境花园,3室2厅,1600,2021/5/28,官渡
瑞鼎城,1室1厅,2500,2021/6/7,盘龙
蓝光水岸公园,1室1厅,2100,2021/6/5,官渡
佳园小区,4居室,800,2021/6/3,盘龙
和谐世纪,3室2厅,2500,2021/6/12,五华
德润朗悦湾,2室1厅,1700,2021/6/10,盘龙
金宅小区,4居室,700,2021/6/13,官渡
船舶小区B区,2室1厅,1300,2021/6/10,官渡
东骧神骏,3室1厅,2800,2021/6/15,官渡
金马腾苑,4居室,900,2021/6/2,官渡
世纪俊园,1室0厅,1700,2021/6/8,盘龙
昆明恒大名都,5居室,750,2021/5/29,五华
昆明恒大翡翠华庭,4室2厅,2300,2021/6/10,盘龙
中产花香四季,4居室,600,2021/5/15,五华
华夏御府怡璟苑,4居室,880,2021/6/12,西山
昆明湖澜庭,4室2厅,2700,2021/6/8,盘龙
新亚洲体育城星体花园北区,1室1厅,1200,2021/6/10,官渡
滇池卫城蓝调公元,3室2厅,3100,2021/5/29,西山
海伦国际泰晤士区,1室0厅,300,2021/6/2,官渡
关平路75号,3室2厅,2200,2021/5/24,官渡
长水航城,3室2厅,1700,2021/6/5,官渡
新城琅樾,4室2厅,1500,2021/6/7,呈贡
春明景和,4居室,650,2021/6/5,官渡
碧桂园春城映象,2室1厅,2000,2021/6/7,五华
新亚洲体育城星体花园南区,3室2厅,1600,2021/5/30,官渡
昆明恒大名都,4居室,750,2021/6/10,五华
滇池南郡,5室2厅,19500,2021/6/15,西山
莲湖苑,2室1厅,2400,2021/6/16,五华
博源小区,3室2厅,2200,2021/6/4,官渡
广福商业中心,1室1厅,1600,2021/6/10,西山
保利大家,5居室,700,2021/6/3,五华
瑞鼎城,3室2厅,2800,2021/6/15,盘龙
溪畔丽景,5居室,950,2021/5/15,盘龙
勘泰大厦,5居室,1100,2021/6/5,盘龙
万科魅力之城,1室1厅,1500,2021/6/2,官渡
山海湾,2室1厅,2200,2021/6/14,官渡
融城园城,4居室,1150,2021/6/6,五华
昆明恒大名都,3居室,850,2021/6/3,五华
世纪半岛茶溪谷,3室2厅,2700,2021/6/11,西山
俊发城紫薇苑,2室1厅,1500,2021/6/15,盘龙
红星天铂,3室2厅,2750,2021/6/7,官渡
昆明恒大名都,2室2厅,2800,2021/6/11,五华
俊发城紫薇苑,2室2厅,1600,2021/5/22,盘龙
红星天铂,3室2厅,2500,2021/6/9,官渡
碧桂园KCC云南映象,4室2厅,4500,2021/6/15,盘龙
华润中心悦府,1室1厅,3000,2021/5/21,官渡
国福现代城,1室0厅,300,2021/6/13,五华
德润朗悦湾,3室2厅,2300,2021/6/11,盘龙
万科大都会,4室2厅,3200,2021/6/10,官渡
学府协信天地,1室1厅,1800,2021/6/15,五华
金马腾苑,4居室,800,2021/5/15,官渡
银河中央,2室2厅,1800,2021/6/8,五华
碧桂园玺台,1室1厅,1600,2021/6/9,五华
华龙人家,2室2厅,1800,2021/6/6,五华
七彩云南古滇名城,2室2厅,2000,2021/5/28,晋宁
广福小区一区(西区),4室2厅,3300,2021/6/8,西山
昆明恒大名都,4居室,780,2021/6/10,五华
盈科苹果城,2室1厅,1300,2021/5/22,安宁
誉峰峰景,4居室,1200,2021/6/15,盘龙
万科魅力之城,4居室,700,2021/6/2,官渡
中海半岛华府,1室0厅,300,2021/5/26,官渡
德润朗悦湾,3室1厅,2500,2021/6/11,盘龙
德润朗悦湾,2室2厅,2300,2021/5/15,盘龙
万科金域国际,1室1厅,1400,2021/5/15,五华
广福城沁福园,3室2厅,3000,2021/6/14,西山
七彩云南第壹城,3室2厅,2500,2021/6/4,呈贡
万科金域国际,3室2厅,2500,2021/5/15,五华
滇池俊府,4室2厅,9800,2021/6/8,官渡
融创海豚湾,1室0厅,1200,2021/6/9,五华
昆明恒大云报华府,1室1厅,2200,2021/5/28,西山
海伦国际贝宁区,3室2厅,3000,2021/5/26,官渡
碧鸡名城,2室2厅,2300,2021/6/5,西山
思源路1号,3室2厅,2000,2021/6/7,五华
呈贡第七街区,1室0厅,1000,2021/6/5,呈贡
海伦国际泰晤士区,3室2厅,3000,2021/6/12,官渡
红星国际广场檀宫,5室1厅,9000,2021/6/13,西山
昆明融创文旅城,3室2厅,2500,2021/6/9,西山
俊发空港城,2室1厅,1300,2021/6/9,嵩明
美术小区,3室2厅,2700,2021/6/15,盘龙
彩云城星湾俊园,3室2厅,2300,2021/6/8,官渡
新亚洲体育城万景园,2室1厅,2400,2021/6/7,官渡
俊发观云海云漫岭,3室1厅,1700,2021/6/15,官渡
云南映象C区,4室2厅,3000,2021/6/5,盘龙
昆明恒大翡翠华庭,4室2厅,2600,2021/5/30,盘龙
ME公寓,1室1厅,1300,2021/5/29,五华
昆明广场上北区,1室1厅,2100,2021/5/29,盘龙
融创春风十里云煕苑,2室2厅,2100,2021/6/13,五华
凤凰御景,3室2厅,2500,2021/5/28,西山
海伦国际泰晤士区,3室2厅,3000,2021/6/12,官渡
万科魅力之城,2室2厅,1600,2021/6/4,官渡
中国房地产有限公司董家湾组团,3室2厅,1700,2021/6/14,官渡
融城园城,3室1厅,2500,2021/6/4,五华
润城,2室1厅,2000,2021/6/13,西山
假日城市,3室2厅,2000,2021/6/11,五华
俊发观云海云漫岭,3室2厅,2500,2021/5/25,官渡
万科魅力之城,3室2厅,2500,2021/6/13,官渡
昆明恒大云报华府,2室2厅,2700,2021/6/14,西山
中国滇池花田国际度假区,3室2厅,2000,2021/6/13,呈贡
万科中天翡翠,1室1厅,1800,2021/5/24,官渡
螺蛳湾商圈宏仁社区规划路1号,2室1厅,1300,2021/6/13,官渡
惠兰园,4室2厅,2800,2021/6/3,呈贡
昆明西山万达广场,1室1厅,2300,2021/6/1,西山
金江小区·云苑,4室3厅,3500,2021/6/10,盘龙
彩云城星湾俊园,3室2厅,2500,2021/6/11,官渡
白马东区,2室1厅,1600,2021/6/11,西山
世纪城岚春苑,3室2厅,2200,2021/6/15,官渡
固地尚诚商务中心,1室1厅,1600,2021/6/9,五华
彩云城星湾俊园,3室2厅,2500,2021/6/10,官渡
万兴花园,3室2厅,4000,2021/6/9,官渡
金地兰亭广场,1室1厅,1800,2021/6/10,西山
居安园,3室1厅,1600,2021/6/15,官渡
春城慧谷,3室2厅,1700,2021/6/12,五华
昆明呈贡吾悦广场,1室1厅,1600,2021/6/10,呈贡
昆明煤机总厂小坝新区,2室2厅,1800,2021/6/16,盘龙
海伦国际柏林区,2室1厅,2500,2021/6/9,官渡
